Id,LotArea,Street,Utilities,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,SaleCondition,SalePrice
243,5000,Pave,AllPub,Norm,1Fam,1.5Fin,5,4,1900,Gable,CompShg,Wd Sdng,Normal,79000
244,10762,Pave,AllPub,Norm,TwnhsE,2Story,6,6,1980,Gable,CompShg,Plywood,Normal,120000
245,8880,Pave,AllPub,Norm,1Fam,2Story,7,5,1994,Gable,CompShg,VinylSd,Normal,205000
246,10400,Pave,AllPub,Norm,1Fam,1Story,7,5,1988,Gable,CompShg,Wd Sdng,Normal,241500
247,9142,Pave,AllPub,Norm,2fmCon,2Story,6,8,1910,Gable,CompShg,AsbShng,Normal,137000
248,11310,Pave,AllPub,Norm,1Fam,1Story,6,5,1954,Hip,CompShg,Wd Sdng,Normal,140000
249,11317,Pave,AllPub,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,Normal,180000
250,159000,Pave,AllPub,Norm,1Fam,1.5Fin,6,7,1958,Gable,CompShg,Wd Sdng,Normal,277000
251,5350,Pave,AllPub,Norm,1Fam,1Story,3,2,1940,Gable,CompShg,Wd Sdng,Normal,76500
252,4750,Pave,AllPub,Norm,TwnhsE,1Story,8,5,2006,Hip,CompShg,VinylSd,Family,235000
253,8366,Pave,AllPub,Norm,1Fam,2Story,6,5,2004,Gable,CompShg,VinylSd,Normal,173000
254,9350,Pave,AllPub,Norm,1Fam,SLvl,6,7,1964,Hip,CompShg,HdBoard,Normal,158000
255,8400,Pave,AllPub,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,Normal,145000
256,8738,Pave,AllPub,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,Normal,230000
257,8791,Pave,AllPub,Norm,1Fam,2Story,6,5,2003,Gable,CompShg,VinylSd,Normal,207500
258,8814,Pave,AllPub,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,Abnorml,220000
259,12435,Pave,AllPub,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,Normal,231500
260,12702,Pave,AllPub,Norm,1Fam,1Story,5,5,1956,Gable,CompShg,BrkFace,Normal,97000
261,19296,Pave,AllPub,Artery,1Fam,SLvl,6,5,1962,Gable,CompShg,Wd Sdng,Normal,176000
262,9588,Pave,AllPub,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,CemntBd,Partial,276000
263,8471,Pave,AllPub,Norm,1Fam,SLvl,6,7,1977,Gable,CompShg,HdBoard,Normal,151000
264,5500,Pave,AllPub,Norm,1Fam,1.5Fin,5,7,1929,Gable,CompShg,Wd Sdng,Normal,130000
265,5232,Pave,AllPub,Artery,1Fam,1Story,5,5,1925,Gable,CompShg,Wd Sdng,Normal,73000
266,12090,Pave,AllPub,Norm,1Fam,1Story,6,6,1981,Gable,CompShg,MetalSd,Normal,175500
267,11207,Pave,AllPub,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,Normal,185000
268,8400,Pave,AllPub,Norm,1Fam,2.5Fin,5,8,1939,Gable,CompShg,Wd Sdng,Normal,179500
269,6900,Pave,AllPub,Norm,1Fam,1Story,5,6,1940,Gable,CompShg,VinylSd,Normal,120500
270,7917,Pave,AllPub,Norm,1Fam,1Story,6,7,1976,Hip,CompShg,HdBoard,Normal,148000
271,10728,Pave,AllPub,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,Partial,266000
272,39104,Pave,AllPub,Norm,1Fam,1Story,7,7,1954,Flat,Membran,Plywood,Normal,241500
273,11764,Pave,AllPub,Norm,1Fam,2Story,8,7,1999,Gable,CompShg,VinylSd,Normal,290000
274,9600,Pave,AllPub,Feedr,1Fam,1Story,6,6,1958,Hip,CompShg,Wd Sdng,Normal,139000
275,8314,Pave,AllPub,Norm,1Fam,1Story,5,7,1982,Gable,CompShg,HdBoard,Normal,124500
276,7264,Pave,AllPub,Norm,1Fam,1.5Fin,7,7,1925,Gable,CompShg,Wd Sdng,Normal,205000
277,9196,Pave,AllPub,Norm,1Fam,1Story,7,5,2003,Gable,CompShg,VinylSd,Normal,201000
278,19138,Pave,AllPub,Norm,1Fam,1Story,4,5,1951,Gable,CompShg,VinylSd,Normal,141000
279,14450,Pave,AllPub,Norm,1Fam,1Story,9,5,2006,Gable,CompShg,CemntBd,Partial,415298
280,10005,Pave,AllPub,Norm,1Fam,2Story,7,5,1977,Hip,CompShg,Plywood,Normal,192000
281,11287,Pave,AllPub,Norm,1Fam,2Story,7,6,1989,Gable,CompShg,Plywood,Normal,228500
282,7200,Pave,AllPub,Norm,1Fam,1Story,6,5,2006,Gable,CompShg,VinylSd,Partial,185000
283,5063,Pave,AllPub,Norm,Twnhs,1Story,7,5,2007,Gable,CompShg,VinylSd,Normal,207500
284,9612,Pave,AllPub,Feedr,1Fam,1Story,8,5,2008,Gable,CompShg,VinylSd,Partial,244600
285,8012,Pave,AllPub,Norm,TwnhsE,1Story,6,5,1992,Gable,CompShg,Plywood,Normal,179200
286,4251,Pave,AllPub,Norm,TwnhsE,2Story,7,5,2006,Gable,CompShg,MetalSd,Partial,164700
287,9786,Pave,AllPub,Norm,1Fam,1.5Fin,6,7,1962,Gable,CompShg,Wd Sdng,Normal,159000
288,8125,Pave,AllPub,Norm,1Fam,1Story,4,4,1971,Gable,CompShg,HdBoard,Normal,88000
289,9819,Pave,AllPub,Norm,1Fam,1Story,5,5,1967,Gable,CompShg,MetalSd,Normal,122000
290,8730,Pave,AllPub,RRAn,1Fam,2Story,6,7,1915,Gable,CompShg,Wd Sdng,Normal,153575
291,15611,Pave,AllPub,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,Partial,233230
292,5687,Pave,AllPub,Norm,2fmCon,2Story,5,6,1912,Gable,CompShg,VinylSd,Normal,135900
293,11409,Pave,AllPub,Norm,1Fam,1.5Fin,5,4,1949,Gable,CompShg,Wd Sdng,Normal,131000
294,16659,Pave,AllPub,PosA,1Fam,2Story,7,7,1977,Gable,CompShg,Plywood,Normal,235000
295,9600,Pave,AllPub,Norm,1Fam,1Story,6,5,1953,Hip,CompShg,HdBoard,Normal,167000
296,7937,Pave,AllPub,Norm,1Fam,SLvl,6,6,1984,Gable,CompShg,HdBoard,Normal,142500
297,13710,Pave,AllPub,Norm,1Fam,1.5Fin,5,5,1950,Gable,CompShg,Wd Sdng,Normal,152000
298,7399,Pave,AllPub,Norm,1Fam,2Story,7,5,1997,Hip,CompShg,VinylSd,Normal,239000
299,11700,Pave,AllPub,Norm,1Fam,2Story,6,6,1968,Mansard,CompShg,HdBoard,Normal,175000
300,14000,Pave,AllPub,Norm,1Fam,1Story,6,8,1950,Gable,CompShg,HdBoard,Family,158500
301,15750,Pave,AllPub,Norm,2fmCon,1Story,5,5,1953,Hip,CompShg,MetalSd,Normal,157000
302,16226,Pave,AllPub,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,Normal,267000
303,13704,Pave,AllPub,Norm,1Fam,1Story,7,5,2001,Gable,CompShg,VinylSd,Normal,205000
304,9800,Pave,AllPub,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,VinylSd,Abnorml,149900
305,18386,Pave,AllPub,Norm,1Fam,2.5Fin,7,9,1880,Gable,CompShg,CemntBd,Normal,295000
306,10386,Pave,AllPub,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,CemntBd,Normal,305900
307,13474,Pave,AllPub,Feedr,1Fam,2Story,7,5,1990,Gable,CompShg,HdBoard,Normal,225000
308,7920,Pave,AllPub,Artery,1Fam,1.5Fin,6,7,1920,Gable,CompShg,MetalSd,Normal,89500
309,12342,Pave,AllPub,Norm,1Fam,1Story,4,5,1940,Gable,CompShg,VinylSd,Normal,82500
310,12378,Pave,AllPub,Norm,1Fam,1Story,9,5,2003,Gable,CompShg,VinylSd,Normal,360000
311,7685,Pave,AllPub,Norm,1Fam,2Story,6,5,1993,Gable,CompShg,HdBoard,Normal,165600
312,8000,Pave,AllPub,Norm,1Fam,1Story,6,6,1948,Gable,CompShg,VinylSd,Normal,132000
313,7800,Pave,AllPub,Artery,2fmCon,1.5Fin,5,7,1939,Gable,CompShg,MetalSd,Normal,119900
314,215245,Pave,AllPub,Norm,1Fam,1Story,7,5,1965,Hip,CompShg,BrkFace,Normal,375000
315,9600,Pave,AllPub,Norm,1Fam,2Story,7,7,1925,Gable,CompShg,Wd Sdng,Normal,178000
316,7795,Pave,AllPub,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,Normal,188500
317,13005,Pave,AllPub,Norm,1Fam,2Story,7,7,1980,Gable,CompShg,CemntBd,Normal,260000
318,9000,Pave,AllPub,Norm,1Fam,2Story,8,5,2006,Gable,CompShg,VinylSd,Normal,270000
319,9900,Pave,AllPub,Norm,1Fam,2Story,7,5,1993,Gable,CompShg,HdBoard,Normal,260000
320,14115,Pave,AllPub,Norm,1Fam,SLvl,7,5,1980,Gable,CompShg,Plywood,Normal,187500
321,16259,Pave,AllPub,Norm,1Fam,2Story,9,5,2006,Gable,CompShg,VinylSd,Partial,342643
322,12099,Pave,AllPub,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,Normal,354000
323,10380,Pave,AllPub,Norm,1Fam,2Story,7,5,1986,Gable,CompShg,Plywood,Normal,301000
324,5820,Pave,AllPub,Norm,1Fam,1Story,3,8,1955,Gable,CompShg,VinylSd,Normal,126175
325,11275,Pave,AllPub,PosN,1Fam,SLvl,7,7,1967,Mansard,WdShake,Wd Sdng,Normal,242000
326,5000,Pave,AllPub,RRAe,1Fam,1.5Unf,5,6,1941,Gable,CompShg,MetalSd,Normal,87000
327,10846,Pave,AllPub,Norm,TwnhsE,1Story,8,5,1993,Gable,CompShg,BrkFace,Normal,324000
328,11600,Pave,AllPub,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,Wd Sdng,Normal,145250
329,11888,Pave,AllPub,PosN,1Fam,2.5Unf,6,6,1916,Gable,CompShg,Wd Sdng,Normal,214500
330,6402,Pave,AllPub,Norm,1Fam,2Story,5,5,1920,Gable,CompShg,Wd Sdng,Normal,78000
331,10624,Pave,AllPub,Norm,Duplex,1Story,5,4,1964,Gable,CompShg,HdBoard,Normal,119000
332,8176,Pave,AllPub,Norm,1Fam,1Story,5,6,1958,Gable,CompShg,Wd Sdng,Normal,139000
333,10655,Pave,AllPub,Norm,1Fam,1Story,8,5,2003,Gable,CompShg,VinylSd,Normal,284000
334,8198,Pave,AllPub,Norm,TwnhsE,1Story,7,5,2004,Gable,CompShg,VinylSd,Normal,207000
335,9042,Pave,AllPub,Norm,1Fam,2Story,6,5,1998,Gable,CompShg,VinylSd,Normal,192000
336,164660,Grvl,AllPub,Norm,2fmCon,1.5Fin,5,6,1965,Gable,CompShg,Plywood,Normal,228950
337,14157,Pave,AllPub,Norm,1Fam,1Story,9,5,2005,Hip,CompShg,VinylSd,Normal,377426
338,9135,Pave,AllPub,Norm,1Fam,1Story,7,5,2002,Gable,CompShg,VinylSd,Normal,214000
339,14145,Pave,AllPub,Norm,1Fam,1Story,7,7,1984,Gable,CompShg,Wd Sdng,Normal,202500
340,12400,Pave,AllPub,Feedr,1Fam,1Story,6,7,1958,Hip,CompShg,Wd Sdng,Normal,155000
341,14191,Pave,AllPub,Norm,1Fam,2Story,8,5,2002,Gable,CompShg,VinylSd,Normal,202900
342,8400,Pave,AllPub,Feedr,1Fam,1Story,4,4,1950,Gable,CompShg,Wd Sdng,Normal,82000
343,8544,Pave,AllPub,Norm,Duplex,1Story,3,4,1949,Gable,CompShg,Stucco,Normal,87500
344,8849,Pave,AllPub,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,Normal,266000
345,2592,Pave,AllPub,Norm,TwnhsE,2Story,5,3,1976,Gable,CompShg,CemntBd,Normal,85000
346,6435,Pave,AllPub,RRAn,1Fam,1.5Fin,6,5,1939,Gable,CompShg,MetalSd,Normal,140200
347,12772,Pave,AllPub,Norm,1Fam,1Story,6,8,1960,Hip,CompShg,MetalSd,Normal,151500
348,17600,Pave,AllPub,Norm,1Fam,1Story,6,5,1960,Gable,CompShg,Wd Sdng,Normal,157500
349,2448,Pave,AllPub,Norm,Twnhs,2Story,7,5,2003,Gable,CompShg,VinylSd,Normal,154000
350,20431,Pave,AllPub,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,CemntBd,Partial,437154
351,7820,Pave,AllPub,Norm,TwnhsE,1Story,9,5,2007,Hip,CompShg,MetalSd,Partial,318061
352,5271,Pave,AllPub,Norm,1Fam,1Story,7,5,1986,Gable,CompShg,Wd Sdng,Abnorml,190000
353,9084,Pave,AllPub,Artery,1Fam,1.5Fin,5,6,1941,Gable,CompShg,VinylSd,Normal,95000
354,8520,Pave,AllPub,Norm,1Fam,1Story,6,8,1928,Gable,CompShg,VinylSd,Normal,105900
355,8400,Pave,AllPub,Norm,1Fam,1.5Fin,6,5,1940,Gable,CompShg,Wd Sdng,Normal,140000
356,11249,Pave,AllPub,Norm,1Fam,1Story,6,5,1995,Gable,CompShg,VinylSd,Normal,177500
357,9248,Pave,AllPub,Norm,1Fam,1Story,6,6,1992,Gable,CompShg,HdBoard,Normal,173000
358,4224,Pave,AllPub,Norm,TwnhsE,1Story,5,5,1976,Gable,CompShg,CemntBd,Normal,134000
359,6930,Pave,AllPub,Norm,1Fam,SLvl,5,4,1958,Hip,CompShg,Wd Sdng,Abnorml,130000
360,12011,Pave,AllPub,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,Normal,280000
361,7540,Pave,AllPub,Norm,1Fam,SFoyer,6,6,1978,Gable,CompShg,VinylSd,Normal,156000
362,9144,Pave,AllPub,Norm,1Fam,1.5Fin,5,5,1940,Gable,CompShg,MetalSd,Normal,145000
363,7301,Pave,AllPub,Norm,1Fam,SFoyer,7,5,2003,Gable,CompShg,HdBoard,Normal,198500
364,1680,Pave,AllPub,Norm,Twnhs,2Story,6,8,1972,Gable,CompShg,HdBoard,Normal,118000
365,18800,Pave,AllPub,Norm,1Fam,2Story,6,5,1976,Gable,CompShg,HdBoard,Normal,190000
366,10690,Pave,AllPub,Norm,1Fam,2Story,5,7,1920,Hip,CompShg,VinylSd,Normal,147000
367,9500,Pave,AllPub,Norm,1Fam,1Story,6,5,1963,Gable,CompShg,Plywood,Normal,159000
368,9150,Pave,AllPub,Norm,1Fam,SLvl,6,5,1962,Gable,Tar&Grv,Plywood,Normal,165000
369,7800,Pave,AllPub,Norm,1Fam,1Story,5,6,1954,Gable,CompShg,HdBoard,Normal,132000
370,9830,Pave,AllPub,Norm,1Fam,1Story,5,7,1959,Gable,CompShg,Wd Sdng,Normal,162000
371,8121,Pave,AllPub,Norm,1Fam,2Story,6,5,2000,Gable,CompShg,VinylSd,Normal,172400
372,17120,Pave,AllPub,Feedr,1Fam,1.5Fin,4,4,1959,Gable,CompShg,WdShing,Normal,134432
373,7175,Pave,AllPub,Norm,TwnhsE,1Story,6,5,1984,Gable,CompShg,Plywood,Normal,125000
374,10634,Pave,AllPub,Norm,1Fam,1Story,5,6,1953,Gable,CompShg,MetalSd,Normal,123000
375,8200,Pave,AllPub,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,Normal,219500
376,10020,Pave,AllPub,Norm,1Fam,1Story,1,1,1922,Gable,CompShg,Wd Sdng,Normal,61000
377,8846,Pave,AllPub,Norm,1Fam,SFoyer,5,5,1996,Gable,CompShg,VinylSd,Normal,148000
378,11143,Pave,AllPub,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,CemntBd,Normal,340000
379,11394,Pave,AllPub,Norm,1Fam,1Story,9,2,2010,Hip,CompShg,VinylSd,Partial,394432
380,8123,Pave,AllPub,RRAn,1Fam,2Story,6,5,2000,Gable,CompShg,VinylSd,Normal,179000
381,5000,Pave,AllPub,Norm,1Fam,1.5Fin,5,6,1924,Gable,CompShg,BrkFace,Normal,127000
382,7200,Pave,AllPub,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,Partial,187750
383,9245,Pave,AllPub,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,VinylSd,Normal,213500
384,9000,Pave,AllPub,Norm,1Fam,1.5Unf,6,3,1928,Gable,CompShg,Wd Sdng,Normal,76000
385,53107,Pave,AllPub,Feedr,1Fam,2Story,6,5,1992,Gable,CompShg,HdBoard,Normal,240000
386,3182,Pave,AllPub,Norm,TwnhsE,1Story,8,5,2004,Gable,CompShg,VinylSd,Normal,192000
387,8410,Pave,AllPub,Feedr,1Fam,1.5Fin,5,3,1910,Gambrel,CompShg,Wd Sdng,AdjLand,81000
388,7200,Pave,AllPub,Norm,1Fam,SLvl,6,6,1976,Hip,CompShg,MetalSd,Abnorml,125000
389,9382,Pave,AllPub,Norm,1Fam,1Story,7,5,1999,Gable,CompShg,VinylSd,Normal,191000
390,12474,Pave,AllPub,Norm,1Fam,2Story,10,5,2007,Gable,CompShg,VinylSd,Partial,426000
391,8405,Pave,AllPub,Norm,1Fam,1.5Fin,5,8,1900,Gable,CompShg,MetalSd,Normal,119000
392,12209,Pave,AllPub,Norm,1Fam,2Story,6,5,2001,Gable,CompShg,VinylSd,Normal,215000
393,8339,Pave,AllPub,Norm,1Fam,1Story,5,7,1959,Gable,CompShg,MetalSd,Normal,106500
394,7446,Pave,AllPub,Feedr,1Fam,1Story,4,5,1941,Gable,CompShg,WdShing,Abnorml,100000
395,10134,Pave,AllPub,Norm,1Fam,1.5Fin,5,6,1940,Gable,CompShg,MetalSd,Normal,109000
396,9571,Pave,AllPub,Norm,1Fam,1Story,5,6,1956,Gable,CompShg,Wd Sdng,Normal,129000
397,7200,Pave,AllPub,Norm,1Fam,1Story,5,5,1972,Hip,CompShg,MetalSd,Normal,123000
398,7590,Pave,AllPub,PosN,1Fam,2Story,5,5,1962,Gable,CompShg,VinylSd,Normal,169500
399,8967,Pave,AllPub,Norm,1Fam,1Story,5,2,1920,Gable,CompShg,MetalSd,Abnorml,67000
400,8125,Pave,AllPub,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,CemntBd,Normal,241000
401,14963,Pave,AllPub,Norm,TwnhsE,1Story,8,5,1996,Gable,CompShg,BrkFace,Normal,245500
402,8767,Pave,AllPub,Norm,1Fam,1Story,7,5,2005,Gable,CompShg,VinylSd,Partial,164990
403,10200,Pave,AllPub,Norm,1Fam,1Story,5,8,1940,Gable,CompShg,Wd Sdng,Normal,108000
404,12090,Pave,AllPub,Norm,1Fam,2Story,8,5,1998,Hip,CompShg,VinylSd,Abnorml,258000
405,10364,Pave,AllPub,Norm,1Fam,2Story,6,5,1995,Gable,CompShg,MetalSd,Normal,168000
406,9991,Pave,AllPub,Feedr,1Fam,1Story,4,4,1976,Gable,CompShg,Plywood,Normal,150000
407,10480,Pave,AllPub,Norm,1Fam,1.5Fin,6,5,1936,Gable,CompShg,MetalSd,Normal,115000
408,15576,Pave,AllPub,Norm,1Fam,2Story,6,7,1915,Gable,CompShg,Wd Sdng,Normal,177000
409,14154,Pave,AllPub,Norm,1Fam,2Story,7,5,2006,Gable,CompShg,VinylSd,Partial,280000
410,10800,Pave,AllPub,Norm,1Fam,2Story,8,5,2007,Gable,CompShg,VinylSd,Partial,339750
411,9571,Pave,AllPub,Norm,1Fam,1Story,5,3,1958,Gable,CompShg,BrkComm,Abnorml,60000
412,34650,Pave,AllPub,Norm,2fmCon,1Story,5,5,1955,Hip,CompShg,Wd Sdng,Normal,145000
413,4403,Pave,AllPub,Norm,1Fam,1Story,7,5,2009,Gable,CompShg,MetalSd,Partial,222000
414,8960,Pave,AllPub,Artery,1Fam,1Story,5,6,1927,Gable,CompShg,WdShing,Normal,115000
415,11228,Pave,AllPub,Norm,1Fam,2Story,7,5,1993,Gable,CompShg,VinylSd,Normal,228000
416,8899,Pave,AllPub,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,Partial,181134
417,7844,Pave,AllPub,Norm,1Fam,2Story,6,7,1978,Hip,CompShg,HdBoard,Normal,149500
418,22420,Pave,AllPub,Feedr,1Fam,2Story,6,6,1918,Hip,CompShg,Wd Sdng,Normal,239000
419,8160,Pave,AllPub,Norm,1Fam,1.5Fin,5,6,1940,Gable,CompShg,MetalSd,AdjLand,126000
420,8450,Pave,AllPub,Norm,1Fam,1Story,5,6,1968,Gable,CompShg,VinylSd,Normal,142000
421,7060,Pave,AllPub,Norm,Duplex,SFoyer,7,5,1997,Gable,CompShg,VinylSd,Alloca,206300
422,16635,Pave,AllPub,Norm,1Fam,1Story,6,7,1977,Gable,CompShg,CemntBd,Normal,215000
423,21750,Pave,AllPub,Artery,1Fam,1Story,5,5,1954,Hip,CompShg,HdBoard,Normal,113000
424,9200,Pave,AllPub,Norm,1Fam,2Story,8,5,1998,Gable,CompShg,VinylSd,Normal,315000
425,9000,Pave,AllPub,Norm,1Fam,1Story,6,5,1956,Gable,CompShg,Wd Sdng,Normal,139000
426,3378,Pave,AllPub,Norm,1Fam,2Story,7,8,1946,Gable,CompShg,HdBoard,Normal,135000
427,12800,Pave,AllPub,Norm,1Fam,SLvl,7,5,1989,Gable,CompShg,Wd Sdng,Normal,275000
428,8593,Pave,AllPub,Norm,1Fam,1Story,4,6,1957,Hip,CompShg,MetalSd,Normal,109008
429,6762,Pave,AllPub,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,Partial,195400
430,11457,Pave,AllPub,Norm,1Fam,1Story,6,5,1988,Gable,CompShg,HdBoard,Normal,175000
431,1680,Pave,AllPub,Norm,Twnhs,2Story,6,5,1971,Gable,CompShg,HdBoard,Abnorml,85400
432,5586,Pave,AllPub,Feedr,1Fam,1.5Fin,6,7,1920,Gable,CompShg,MetalSd,Abnorml,79900
433,1920,Pave,AllPub,Norm,TwnhsE,2Story,5,5,1971,Gable,CompShg,HdBoard,Normal,122500
434,10839,Pave,AllPub,Norm,1Fam,2Story,6,5,1997,Gable,CompShg,VinylSd,Normal,181000
435,1890,Pave,AllPub,Norm,Twnhs,SFoyer,4,7,1972,Gable,CompShg,CemntBd,Normal,81000
436,10667,Pave,AllPub,PosN,1Fam,2Story,7,6,1996,Gable,CompShg,VinylSd,Normal,212000
437,4400,Pave,AllPub,Norm,1Fam,1.5Fin,6,8,1920,Gable,CompShg,Stucco,Normal,116000
438,6000,Pave,AllPub,Norm,1Fam,1.5Unf,6,7,1926,Gable,CompShg,Wd Sdng,Normal,119000
439,4280,Pave,AllPub,Norm,1Fam,1Story,5,6,1913,Gable,CompShg,WdShing,Normal,90350
440,12354,Pave,AllPub,Norm,1Fam,1.5Fin,6,8,1920,Gable,CompShg,Wd Sdng,Normal,110000
441,15431,Pave,AllPub,Norm,1Fam,1Story,10,5,2008,Hip,CompShg,VinylSd,Normal,555000
442,12108,Pave,AllPub,Norm,Duplex,1Story,4,4,1955,Gable,CompShg,VinylSd,Normal,118000
443,6240,Pave,AllPub,Norm,1Fam,1.5Fin,5,7,1930,Gable,CompShg,MetalSd,Normal,162900
444,3922,Pave,AllPub,Norm,TwnhsE,1Story,7,5,2006,Gable,CompShg,WdShing,Partial,172500
445,8750,Pave,AllPub,Norm,1Fam,2Story,7,5,1994,Gable,CompShg,VinylSd,Normal,210000
446,9855,Pave,AllPub,Norm,1Fam,1Story,6,5,1956,Hip,CompShg,Wd Sdng,Normal,127500
447,16492,Pave,AllPub,PosA,1Fam,1Story,6,6,1966,Gable,CompShg,BrkFace,Normal,190000
448,11214,Pave,AllPub,Norm,1Fam,2Story,7,5,1998,Gable,CompShg,VinylSd,Normal,199900
449,8600,Pave,AllPub,Norm,1Fam,1.5Fin,6,6,1937,Gable,CompShg,MetalSd,Normal,119500
450,6000,Pave,AllPub,Norm,1Fam,1.5Fin,3,7,1948,Gable,CompShg,MetalSd,Normal,120000
451,5684,Pave,AllPub,Norm,1Fam,1Story,6,8,1930,Hip,CompShg,Wd Sdng,Normal,110000
452,70761,Pave,AllPub,Norm,1Fam,1Story,7,5,1975,Gable,WdShngl,Plywood,Normal,280000
453,9303,Pave,AllPub,Norm,1Fam,2Story,6,5,1996,Hip,CompShg,VinylSd,Normal,204000
454,9000,Pave,AllPub,Norm,1Fam,2Story,8,5,2008,Gable,CompShg,VinylSd,Normal,210000
455,9297,Pave,AllPub,Norm,Duplex,1Story,5,5,1976,Gable,CompShg,Plywood,Family,188000
456,9600,Pave,AllPub,Norm,1Fam,1Story,7,6,1973,Hip,CompShg,HdBoard,Normal,175500
457,4571,Pave,AllPub,Norm,1Fam,2Story,5,5,1916,Gable,CompShg,AsbShng,Abnorml,98000
458,53227,Pave,AllPub,Norm,1Fam,1Story,4,6,1954,Flat,Tar&Grv,Plywood,Normal,256000
459,5100,Pave,AllPub,Norm,1Fam,2Story,8,7,1925,Hip,CompShg,Stucco,Normal,161000
460,7015,Pave,AllPub,Norm,1Fam,1.5Fin,5,4,1950,Gable,CompShg,MetalSd,Normal,110000
461,8004,Pave,AllPub,RRAn,1Fam,2Story,8,5,2009,Gable,CompShg,VinylSd,Partial,263435
462,7200,Pave,AllPub,Feedr,1Fam,2Story,7,9,1936,Gable,CompShg,Wd Sdng,Normal,155000
463,8281,Pave,AllPub,Norm,1Fam,1Story,5,5,1965,Gable,CompShg,MetalSd,Normal,62383
464,11988,Pave,AllPub,Norm,1Fam,2Story,6,7,1934,Hip,CompShg,Stucco,Normal,188700
465,8430,Pave,AllPub,Norm,1Fam,1Story,5,5,1978,Gable,CompShg,HdBoard,Normal,124000
466,3072,Pave,AllPub,Norm,TwnhsE,1Story,7,5,2004,Hip,CompShg,VinylSd,Normal,178740
467,10628,Pave,AllPub,Norm,1Fam,1Story,7,5,1970,Flat,Tar&Grv,Plywood,Normal,167000
468,9480,Pave,AllPub,Artery,1Fam,2Story,5,7,1942,Gable,CompShg,MetalSd,Normal,146500
469,11428,Pave,AllPub,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,Normal,250000
470,9291,Pave,AllPub,RRNe,1Fam,2Story,6,5,1993,Gable,CompShg,HdBoard,Normal,187000
471,6820,Pave,AllPub,Norm,TwnhsE,1Story,8,5,1985,Gable,CompShg,HdBoard,Normal,212000
472,11952,Pave,AllPub,PosA,1Fam,2Story,7,6,1977,Mansard,WdShake,WdShing,Normal,190000
473,3675,Pave,AllPub,Norm,TwnhsE,SLvl,6,5,2005,Gable,CompShg,VinylSd,Normal,148000
474,14977,Pave,AllPub,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,Partial,440000
475,5330,Pave,AllPub,Norm,TwnhsE,1Story,8,5,2000,Gable,CompShg,CemntBd,Normal,251000
476,8480,Pave,AllPub,Norm,1Fam,1Story,5,6,1963,Hip,CompShg,HdBoard,Normal,132500
477,13125,Pave,AllPub,Norm,1Fam,1Story,6,5,1997,Gable,CompShg,VinylSd,Normal,208900
478,13693,Pave,AllPub,Norm,1Fam,2Story,9,5,2006,Hip,CompShg,VinylSd,Normal,380000
479,10637,Pave,AllPub,Norm,1Fam,1Story,8,5,2007,Hip,CompShg,VinylSd,Normal,297000
480,5925,Pave,AllPub,Norm,1Fam,1Story,4,7,1937,Hip,CompShg,Stucco,Alloca,89471
481,16033,Pave,AllPub,Norm,1Fam,1Story,9,5,2004,Hip,CompShg,VinylSd,Normal,326000
482,11846,Pave,AllPub,Norm,1Fam,1Story,9,5,2003,Hip,CompShg,VinylSd,Normal,374000
483,2500,Pave,AllPub,Norm,1Fam,2Story,7,8,1915,Gable,CompShg,Stucco,Normal,155000
484,4500,Pave,AllPub,Norm,Twnhs,1Story,6,5,1998,Hip,CompShg,VinylSd,Normal,164000
485,7758,Pave,AllPub,Norm,1Fam,1Story,5,7,1962,Gable,CompShg,HdBoard,Normal,132500
